DATETIME,MARK,LATITUDE_deg,LONGITUDE_deg,TWD_deg,TWS_km_h_1
2025-01-19 03:05:02+00:00,LG1,-36.83503120299431,174.75517425220445,68.89022492141484,33.54876
2025-01-19 03:05:03+00:00,LG1,-36.83503059949726,174.75517367385342,68.64687032685323,32.84316
2025-01-19 03:05:04+00:00,LG1,-36.83502858784049,174.7551725339141,68.48042237617113,31.975919999999995
2025-01-19 03:05:05+00:00,LG1,-36.835026358254275,174.755172751844,68.0612811670278,31.972320000000003
2025-01-19 03:05:06+00:00,LG1,-36.83502419572323,174.7551719555629,67.60148930326243,31.864320000000003
2025-01-19 03:05:07+00:00,LG1,-36.835021890699856,174.75516801606858,67.13290810876796,31.847040000000003
2025-01-19 03:05:08+00:00,LG1,-36.83502010535449,174.75516477227197,66.76320688497573,31.940640000000002
2025-01-19 03:05:09+00:00,LG1,-36.83501918334516,174.75516414362912,66.44459364604631,32.32332
2025-01-19 03:05:10+00:00,LG1,-36.83501899056137,174.7551634395495,66.2929776909696,33.103440000000006
2025-01-19 03:05:11+00:00,LG1,-36.835019376128926,174.7551618972794,66.34131900997956,33.61212
2025-01-19 03:05:12+00:00,LG1,-36.83501919172705,174.75515807513162,66.41547898800623,33.625440000000005
2025-01-19 03:05:13+00:00,LG1,-36.83502065017821,174.75515940785414,66.73903622547076,33.577560000000005
2025-01-19 03:05:14+00:00,LG1,-36.83502023108302,174.75516224931926,66.89944151127659,33.554880000000004
2025-01-19 03:05:15+00:00,LG1,-36.8350187977776,174.75516058970248,66.80111087374493,33.44328
2025-01-19 03:05:16+00:00,LG1,-36.83501667715608,174.7551601789894,66.57368694112981,33.16068
2025-01-19 03:05:17+00:00,LG1,-36.835014581680284,174.7551628025248,66.34516434217353,32.89283999999999
2025-01-19 03:05:18+00:00,LG1,-36.83501221798362,174.7551629366353,65.75188451796012,32.74379999999999
2025-01-19 03:05:19+00:00,LG1,-36.83500934299081,174.7551590139047,64.97402874843593,32.7204
2025-01-19 03:05:20+00:00,LG1,-36.83500896580517,174.7551555018872,64.3988769188513,32.744519999999994
2025-01-19 03:05:21+00:00,LG1,-36.835010206326835,174.75515358243123,63.99401837214269,32.86728
2025-01-19 03:05:22+00:00,LG1,-36.83501146361232,174.75515356566748,63.63695181127355,33.432840000000006
2025-01-19 03:05:23+00:00,LG1,-36.83501285500825,174.7551544122399,63.30570390942107,33.27552000000001
2025-01-19 03:05:24+00:00,LG1,-36.83501464035363,174.75515329744653,63.400189214758754,33.2442
2025-01-19 03:05:25+00:00,LG1,-36.83501642569898,174.75515483971685,63.47050386059148,33.33203999999999
2025-01-19 03:05:26+00:00,LG1,-36.83501629158852,174.755156633444,63.43205053865169,33.4098
2025-01-19 03:05:27+00:00,LG1,-36.83501612395049,174.75515774823737,63.43095187231056,33.47316
2025-01-19 03:05:28+00:00,LG1,-36.835017381235964,174.75515638198712,63.50566118350779,33.681599999999996
2025-01-19 03:05:29+00:00,LG1,-36.83501892350615,174.7551542194559,63.62211981566821,34.113600000000005
2025-01-19 03:05:30+00:00,LG1,-36.835020851343856,174.7551557114347,63.75560777611621,34.33392
2025-01-19 03:05:31+00:00,LG1,-36.83502228464932,174.7551567675544,64.4862208929716,34.389359999999996
2025-01-19 03:05:32+00:00,LG1,-36.8350233742967,174.7551574883985,65.39042329172642,34.53156
2025-01-19 03:05:33+00:00,LG1,-36.83502411190421,174.7551581840962,66.03973509933773,34.59492000000001
2025-01-19 03:05:34+00:00,LG1,-36.83502220921219,174.75515881273893,66.08917508468886,34.812360000000005
2025-01-19 03:05:35+00:00,LG1,-36.83502112794665,174.75516262650478,65.98754844813378,34.81416
2025-01-19 03:05:36+00:00,LG1,-36.835018839687116,174.75516343116738,65.73870052186652,35.04996
